"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Edat quinquennal","Nombre"
2013,1,"Ciutat Vella",1,"el Raval","Home","< 24 anys",91
2013,1,"Ciutat Vella",2,"el Barri Gòtic","Home","< 24 anys",42
2013,1,"Ciutat Vella",3,"la Barceloneta","Home","< 24 anys",38
2013,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Home","< 24 anys",39
2013,2,"Eixample",5,"el Fort Pienc","Home","< 24 anys",30
2013,2,"Eixample",6,"la Sagrada Família","Home","< 24 anys",37
2013,2,"Eixample",7,"la Dreta de l'Eixample","Home","< 24 anys",56
2013,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Home","< 24 anys",43
2013,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Home","< 24 anys",59
2013,2,"Eixample",10,"Sant Antoni","Home","< 24 anys",40
2013,3,"Sants-Montjuïc",11,"el Poble Sec","Home","< 24 anys",39
2013,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Home","< 24 anys",2
2013,3,"Sants-Montjuïc",13,"la Marina de Port","Home","< 24 anys",28
2013,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Home","< 24 anys",14
2013,3,"Sants-Montjuïc",15,"Hostafrancs","Home","< 24 anys",18
2013,3,"Sants-Montjuïc",16,"la Bordeta","Home","< 24 anys",19
2013,3,"Sants-Montjuïc",17,"Sants - Badal","Home","< 24 anys",24
2013,3,"Sants-Montjuïc",18,"Sants","Home","< 24 anys",44
2013,4,"Les Corts",19,"les Corts","Home","< 24 anys",35
2013,4,"Les Corts",20,"la Maternitat i Sant Ramon","Home","< 24 anys",14
2013,4,"Les Corts",21,"Pedralbes","Home","< 24 anys",9
2013,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Home","< 24 anys",1
2013,5,"Sarrià-Sant Gervasi",23,"Sarrià","Home","< 24 anys",20
2013,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Home","< 24 anys",10
